Gmt time,Open,High,Low,Close,Volume
26.09.2005 20:00:00.000,7.237,7.350,7.056,7.170,20050000.6675
27.09.2005 00:00:00.000,7.273,7.390,7.016,7.260,115200000.76300001
27.09.2005 04:00:00.000,7.274,7.368,6.999,7.289,103050001.1444
27.09.2005 08:00:00.000,7.288,7.394,6.966,7.285,142000000
27.09.2005 12:00:00.000,7.179,7.342,6.938,7.222,199350002.2888
27.09.2005 16:00:00.000,7.031,7.354,6.940,7.173,111250000
27.09.2005 20:00:00.000,7.144,7.304,7.010,7.102,31400000.0953
28.09.2005 00:00:00.000,7.206,7.303,6.952,7.102,82300002.0981
28.09.2005 04:00:00.000,7.201,7.309,6.938,7.099,117699998.8556
28.09.2005 08:00:00.000,7.216,7.331,6.936,7.226,117149999.6186
28.09.2005 12:00:00.000,7.124,7.369,6.989,7.317,196500003.8147
28.09.2005 16:00:00.000,7.125,7.390,7.047,7.189,137650001.5258
28.09.2005 20:00:00.000,7.260,7.386,7.069,7.180,40299999.7138
29.09.2005 00:00:00.000,7.247,7.398,7.069,7.345,131849998.4741
29.09.2005 04:00:00.000,7.245,7.437,7.065,7.352,110450000.76300001
29.09.2005 08:00:00.000,7.266,7.451,7.075,7.268,131149997.7113
29.09.2005 12:00:00.000,7.353,7.519,7.071,7.402,196549999.237
29.09.2005 16:00:00.000,7.342,7.543,7.170,7.349,110350001.33520001
29.09.2005 20:00:00.000,7.425,7.512,7.202,7.311,58550000.1907
30.09.2005 00:00:00.000,7.340,7.543,7.207,7.380,101149999.6185
30.09.2005 04:00:00.000,7.434,7.565,7.212,7.502,102550001.14449999
30.09.2005 08:00:00.000,7.449,7.604,7.230,7.419,164849998.4741
30.09.2005 12:00:00.000,7.419,7.612,7.168,7.484,199700000.7629
30.09.2005 16:00:00.000,7.364,7.527,7.163,7.305,128600000.3815
30.09.2005 20:00:00.000,7.426,7.482,7.179,7.267,13449999.8093
02.10.2005 20:00:00.000,7.423,7.460,7.153,7.281,11849999.9046
03.10.2005 00:00:00.000,7.354,7.492,7.227,7.375,71250000
03.10.2005 04:00:00.000,7.372,7.455,7.198,7.421,65950000.762899995
03.10.2005 08:00:00.000,7.371,7.434,7.170,7.302,80000000.0001
03.10.2005 12:00:00.000,7.339,7.474,7.201,7.400,94100000.3814
03.10.2005 16:00:00.000,7.278,7.442,7.213,7.323,46649998.903299995
03.10.2005 20:00:00.000,7.358,7.422,7.229,7.328,15899999.6185
04.10.2005 00:00:00.000,7.396,7.448,7.201,7.319,38600000.3815
04.10.2005 04:00:00.000,7.290,7.484,7.235,7.362,50450000.763
04.10.2005 08:00:00.000,7.387,7.469,7.224,7.409,59600000.381400004
04.10.2005 12:00:00.000,7.389,7.490,7.172,7.344,100749998.0928
04.10.2005 16:00:00.000,7.253,7.417,7.190,7.275,50000000.2384
04.10.2005 20:00:00.000,7.337,7.396,7.215,7.265,13600000.0239
05.10.2005 00:00:00.000,7.336,7.441,7.190,7.324,51899999.6185
05.10.2005 04:00:00.000,7.313,7.427,7.171,7.331,59200001.71659999
05.10.2005 08:00:00.000,7.323,7.428,7.172,7.369,78200000.763
05.10.2005 12:00:00.000,7.341,7.443,7.164,7.368,95500000
05.10.2005 16:00:00.000,7.281,7.459,7.209,7.284,49899998.6648
05.10.2005 20:00:00.000,7.374,7.429,7.231,7.319,11850000.0238
